bill_id,status,cong,cosponsors,majority,republican,independent
103_hr1527,0,103,3.0,0.0,1,0
103_hr1531,0,103,21.0,1.0,0,0
103_hr1541,0,103,19.0,0.0,1,0
103_hr1545,0,103,4.0,0.0,1,0
103_hr1551,0,103,42.0,1.0,0,0
103_hr1560,0,103,24.0,1.0,0,0
103_hr1561,0,103,0.0,1.0,0,0
103_hr1562,0,103,0.0,1.0,0,0
103_hr1568,0,103,0.0,1.0,0,0
103_hr1572,0,103,15.0,0.0,1,0
103_hr1578,0,103,32.0,1.0,0,0
103_hr1579,0,103,22.0,1.0,0,0
103_hr1584,0,103,0.0,1.0,0,0
103_hr1586,0,103,28.0,1.0,0,0
103_hr1589,0,103,0.0,0.0,1,0
103_hr1594,0,103,0.0,0.0,1,0
103_hr1597,0,103,12.0,1.0,0,0
103_hr1602,0,103,8.0,1.0,0,0
103_hr1611,0,103,0.0,1.0,0,0
103_hr1612,0,103,0.0,1.0,0,0
103_hr1615,0,103,0.0,1.0,0,0
103_hr1616,0,103,0.0,1.0,0,0
103_hr1638,0,103,3.0,1.0,0,0
103_hr164,0,103,0.0,0.0,1,0
103_hr1642,0,103,2.0,0.0,1,0
103_hr165,0,103,1.0,0.0,1,0
103_hr1667,0,103,5.0,1.0,0,0
103_hr1671,0,103,138.0,1.0,0,0
103_hr1680,0,103,3.0,1.0,0,0
103_hr1686,0,103,12.0,0.0,1,0
103_hr1688,0,103,0.0,0.0,1,0
103_hr1697,0,103,265.0,1.0,0,0
103_hr1701,0,103,1.0,1.0,0,0
103_hr1703,0,103,6.0,1.0,0,0
103_hr171,0,103,20.0,0.0,1,0
103_hr1710,0,103,24.0,0.0,1,0
103_hr1712,0,103,28.0,0.0,1,0
103_hr1723,1,103,0.0,1.0,0,0
103_hr1727,1,103,23.0,1.0,0,0
103_hr1753,0,103,15.0,1.0,0,0
103_hr1760,0,103,5.0,1.0,0,0
103_hr1762,0,103,11.0,0.0,1,0
103_hr1770,0,103,25.0,1.0,0,0
103_hr1774,0,103,16.0,0.0,1,0
103_hr1778,0,103,4.0,0.0,1,0
103_hr1788,0,103,11.0,0.0,1,0
103_hr1791,0,103,4.0,1.0,0,0
103_hr1800,0,103,22.0,1.0,0,0
103_hr1801,0,103,22.0,1.0,0,0
103_hr1809,0,103,44.0,1.0,0,0
103_hr181,0,103,3.0,0.0,1,0
103_hr1813,0,103,3.0,0.0,1,0
103_hr1816,0,103,10.0,1.0,0,0
103_hr1817,0,103,9.0,0.0,1,0
103_hr1819,0,103,9.0,1.0,0,0
103_hr182,0,103,0.0,0.0,1,0
103_hr1823,0,103,26.0,1.0,0,0
103_hr1824,0,103,9.0,1.0,0,0
103_hr1827,0,103,15.0,1.0,0,0
103_hr1829,0,103,3.0,1.0,0,0
103_hr1830,0,103,2.0,0.0,1,0
103_hr1846,0,103,0.0,1.0,0,0
103_hr1860,0,103,7.0,0.0,1,0
103_hr1865,0,103,4.0,1.0,0,0
103_hr187,0,103,0.0,1.0,0,0
103_hr1870,0,103,0.0,1.0,0,0
103_hr1873,1,103,45.0,1.0,0,0
103_hr1883,0,103,125.0,1.0,0,0
103_hr19,0,103,2.0,1.0,0,0
103_hr1902,0,103,12.0,1.0,0,0
103_hr1911,0,103,13.0,1.0,0,0
103_hr1916,0,103,53.0,1.0,0,0
103_hr1918,0,103,1.0,1.0,0,0
103_hr1924,0,103,29.0,1.0,0,0
103_hr1927,0,103,0.0,1.0,0,0
103_hr1933,1,103,105.0,1.0,0,0
103_hr1944,1,103,31.0,1.0,0,0
103_hr1947,0,103,0.0,0.0,1,0
103_hr1948,0,103,20.0,1.0,0,0
103_hr1952,0,103,24.0,1.0,0,0
103_hr1955,0,103,20.0,1.0,0,0
103_hr1957,0,103,20.0,0.0,1,0
103_hr1970,0,103,11.0,1.0,0,0
103_hr1978,0,103,0.0,0.0,1,0
103_hr1982,0,103,0.0,1.0,0,0
103_hr1992,0,103,12.0,0.0,1,0
103_hr1993,0,103,0.0,0.0,1,0
103_hr1997,0,103,5.0,1.0,0,0
103_hr2004,0,103,34.0,0.0,1,0
103_hr2013,0,103,25.0,1.0,0,0
103_hr2014,0,103,13.0,1.0,0,0
103_hr202,0,103,0.0,1.0,0,0
103_hr2022,0,103,9.0,1.0,0,0
103_hr2023,0,103,32.0,1.0,0,0
103_hr2026,0,103,2.0,1.0,0,0
103_hr2027,0,103,0.0,1.0,0,0
103_hr2034,1,103,3.0,1.0,0,0
103_hr2040,0,103,0.0,0.0,1,0
103_hr2052,0,103,0.0,0.0,1,0
103_hr2067,0,103,1.0,0.0,1,0
103_hr2071,0,103,1.0,1.0,0,0
103_hr2072,0,103,5.0,1.0,0,0
103_hr2078,0,103,0.0,1.0,0,0
103_hr2080,0,103,1.0,1.0,0,0
103_hr2082,0,103,1.0,1.0,0,0
103_hr209,0,103,0.0,1.0,0,0
103_hr2101,0,103,4.0,1.0,0,0
103_hr2104,0,103,0.0,1.0,0,0
103_hr2105,0,103,44.0,1.0,0,0
103_hr2106,0,103,15.0,0.0,1,0
103_hr2110,0,103,25.0,1.0,0,0
103_hr2127,0,103,10.0,0.0,1,0
103_hr2130,0,103,47.0,0.0,1,0
103_hr2133,0,103,0.0,1.0,0,0
103_hr2134,0,103,11.0,1.0,0,0
103_hr2136,0,103,11.0,0.0,1,0
103_hr214,0,103,126.0,1.0,0,0
103_hr2143,0,103,0.0,1.0,0,0
103_hr2144,1,103,6.0,1.0,0,0
103_hr2147,0,103,53.0,1.0,0,0
103_hr2155,0,103,1.0,1.0,0,0
103_hr2170,0,103,0.0,1.0,0,0
103_hr2174,0,103,33.0,0.0,1,0
103_hr2188,0,103,3.0,1.0,0,0
103_hr2191,0,103,12.0,1.0,0,0
103_hr2192,0,103,2.0,1.0,0,0
