,bill_id,status,cong
0,103_hr1002,0,103
1,103_hr1003,0,103
2,103_hr1005,0,103
3,103_hr1007,0,103
4,103_hr1013,0,103
5,103_hr1014,0,103
6,103_hr102,0,103
7,103_hr1020,0,103
8,103_hr1021,0,103
9,103_hr1028,0,103
10,103_hr103,0,103
11,103_hr1032,0,103
12,103_hr1038,0,103
13,103_hr1044,0,103
14,103_hr1046,0,103
15,103_hr1049,0,103
16,103_hr1050,0,103
17,103_hr1051,0,103
18,103_hr1052,0,103
19,103_hr107,0,103
20,103_hr1070,0,103
21,103_hr1072,0,103
22,103_hr1075,0,103
23,103_hr1077,0,103
24,103_hr1078,0,103
25,103_hr1079,0,103
26,103_hr1085,0,103
27,103_hr1091,0,103
28,103_hr1093,0,103
29,103_hr1095,0,103
30,103_hr11,0,103
31,103_hr1100,0,103
32,103_hr1104,0,103
33,103_hr1107,0,103
34,103_hr1108,0,103
35,103_hr111,0,103
36,103_hr1123,0,103
37,103_hr1124,0,103
38,103_hr1129,0,103
39,103_hr1134,1,103
40,103_hr1149,0,103
41,103_hr1153,0,103
42,103_hr1158,0,103
43,103_hr1159,0,103
44,103_hr1166,0,103
45,103_hr1175,0,103
46,103_hr1182,0,103
47,103_hr1185,0,103
48,103_hr1190,0,103
49,103_hr1198,0,103
50,103_hr1199,0,103
51,103_hr1201,0,103
52,103_hr1205,0,103
53,103_hr1207,0,103
54,103_hr1208,0,103
55,103_hr1210,0,103
56,103_hr1225,0,103
57,103_hr1228,0,103
58,103_hr1229,0,103
59,103_hr1237,1,103
60,103_hr1240,0,103
61,103_hr1242,0,103
62,103_hr1245,0,103
63,103_hr1248,0,103
64,103_hr1250,0,103
65,103_hr1253,0,103
66,103_hr1258,0,103
67,103_hr1260,0,103
68,103_hr1267,0,103
69,103_hr1268,1,103
70,103_hr1284,0,103
71,103_hr1288,0,103
72,103_hr1293,0,103
73,103_hr1294,0,103
74,103_hr1295,0,103
75,103_hr1312,0,103
76,103_hr1313,1,103
77,103_hr1317,0,103
78,103_hr1321,0,103
79,103_hr1323,0,103
80,103_hr133,0,103
81,103_hr1334,0,103
82,103_hr1356,0,103
83,103_hr1361,0,103
84,103_hr1362,0,103
85,103_hr1368,0,103
86,103_hr1378,1,103
87,103_hr1380,0,103
88,103_hr14,0,103
89,103_hr1406,0,103
90,103_hr1409,0,103
91,103_hr141,0,103
92,103_hr1412,0,103
93,103_hr1413,0,103
94,103_hr1424,0,103
95,103_hr1426,1,103
96,103_hr1433,0,103
97,103_hr1434,0,103
98,103_hr1438,0,103
99,103_hr144,0,103
100,103_hr1440,0,103
101,103_hr1444,0,103
102,103_hr1445,0,103
103,103_hr1446,0,103
104,103_hr1447,0,103
105,103_hr1448,0,103
106,103_hr1452,0,103
107,103_hr1453,0,103
108,103_hr146,0,103
109,103_hr1472,0,103
110,103_hr1476,0,103
111,103_hr1479,0,103
112,103_hr1483,0,103
113,103_hr1495,0,103
114,103_hr1497,0,103
115,103_hr1502,0,103
116,103_hr1504,0,103
117,103_hr1511,0,103
118,103_hr1514,0,103
119,103_hr1517,0,103
120,103_hr1519,0,103
121,103_hr1527,0,103
122,103_hr1531,0,103
123,103_hr1541,0,103
124,103_hr1545,0,103
125,103_hr1551,0,103
126,103_hr1560,0,103
127,103_hr1561,0,103
128,103_hr1562,0,103
129,103_hr1568,0,103
130,103_hr1572,0,103
131,103_hr1578,0,103
132,103_hr1579,0,103
133,103_hr1584,0,103
134,103_hr1586,0,103
135,103_hr1589,0,103
136,103_hr1594,0,103
137,103_hr1597,0,103
138,103_hr1602,0,103
139,103_hr1611,0,103
140,103_hr1612,0,103
141,103_hr1615,0,103
142,103_hr1616,0,103
143,103_hr1638,0,103
144,103_hr164,0,103
145,103_hr1642,0,103
146,103_hr165,0,103
147,103_hr1667,0,103
148,103_hr1671,0,103
149,103_hr1680,0,103
150,103_hr1686,0,103
151,103_hr1688,0,103
152,103_hr1697,0,103
153,103_hr1701,0,103
154,103_hr1703,0,103
155,103_hr171,0,103
156,103_hr1710,0,103
157,103_hr1712,0,103
